name,x-coordinates,y-coordinates
avrdb_0001,330,491
avrdb_0004,448,202
avrdb_0023,832,393
avrdb_0024,391,555
avrdb_0135,718,380
avrdb_0136,315,368
avrdb_0167,761,530
avrdb_0168,371,503
avrdb_0189,365,387
avrdb_0209,832,346
avrdb_0210,297,442
avrdb_0333,272,477
avrdb_0389,757,498
avrdb_0390,457,361
avrdb_0678,469,419
avrdb_0679,622,404
avrdb_0715,277,375
avrdb_0716,786,390
avrdb_0938,716,358
avrdb_1031,566,472
avrdb_1032,569,471
avrdb_1034,410,466
avrdb_1069,474,482
avrdb_1070,345,472
avrdb_1096,593,483
avrdb_1097,507,578
avrdb_1126,770,369
avrdb_1127,201,333
avrdb_1154,717,408
avrdb_1155,437,484
avrdb_1192,732,392
avrdb_1193,276,374
avrdb_1218,640,432
avrdb_1219,407,448
avrdb_1246,814,300
avrdb_1686,653,376
avrdb_1749,759,407
avrdb_1750,276,454
avrdb_1791,814,486
avrdb_1792,238,445
avrdb_1814,333,405
avrdb_1858,718,410
avrdb_1859,411,473
avrdb_2094,235,409
avrdb_2348,514,374
avrdb_2350,533,392
avrdb_2421,782,369
avrdb_2422,256,355
avrdb_2471,317,383
avrdb_2587,239,336
avrdb_2649,341,457
avrdb_2742,746,317
avrdb_2743,199,357
avrdb_3024,282,390
avrdb_3537,741,382
avrdb_3630,250,383
avrdb_3631,657,435
avrdb_3705,277,386
avrdb_4162,746,489
avrdb_4163,338,459
avrdb_4455,722,335
avrdb_4512,360,334
avrdb_4513,301,358
avrdb_4515,534,413
avrdb_4516,321,398
avrdb_4538,632,403
avrdb_4539,361,571
avrdb_4564,729,409
avrdb_4790,388,359
avrdb_4993,707,461
avrdb_5024,788,310
avrdb_5025,324,267
avrdb_5060,677,498
avrdb_5092,675,294
avrdb_5093,277,322
avrdb_5132,799,377
avrdb_5133,276,337
avrdb_5190,642,304
avrdb_5191,316,386
avrdb_5249,732,366
avrdb_5283,752,384
avrdb_5320,781,349
avrdb_5321,348,528
avrdb_5357,341,488
avrdb_5387,737,403
avrdb_5456,804,403
avrdb_5457,283,394
avrdb_5488,408,392
avrdb_5489,708,470
avrdb_5523,774,418
avrdb_5524,327,420
avrdb_5558,757,445
avrdb_5713,375,298
avrdb_5805,711,410
avrdb_5806,369,384
avrdb_5833,753,365
avrdb_5834,273,372
avrdb_6037,562,363
avrdb_6105,815,369
avrdb_6106,248,359
