name,x-coordinates,y-coordinates
drhagis_glaucoma_1,607,545
drhagis_glaucoma_10,1121,470
drhagis_hypertension_11,1277,554
drhagis_hypertension_12,1251,599
,0,0
drhagis_hypertension_14,1272,524
drhagis_hypertension_15,980,360
drhagis_hypertension_16,1021,468
drhagis_hypertension_17,1258,506
,0,0
,0,0
drhagis_glaucoma_2,522,558
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
drhagis_glaucoma_3,999,464
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
,0,0
drhagis_glaucoma_4,495,504
,0,0
drhagis_glaucoma_5,1117,651
drhagis_glaucoma_6,1302.87725321888,476.27982832618
drhagis_glaucoma_7,349,409
drhagis_glaucoma_8,460.118454935622,572.252360515022
drhagis_glaucoma_9,506,504
