name,x-coordinates,y-coordinates
hrf_dr_01dr,410,547
hrf_glaucoma_01g,1226,496
hrf_healthy_01h,1198,525
hrf_dr_02dr,1253,527
hrf_glaucoma_02g,419,509
hrf_healthy_02h,473,494
hrf_dr_03dr,457,499
hrf_glaucoma_03g,1210,511
hrf_healthy_03h,1200,530
hrf_dr_04dr,1233,585
hrf_glaucoma_04g,478,493
hrf_healthy_04h,484,524
hrf_dr_05dr,472,538
hrf_glaucoma_05g,1244,494
hrf_healthy_05h,1218,496
hrf_dr_06dr,1166,504
hrf_glaucoma_06g,458,537
hrf_healthy_06h,452,519
hrf_dr_07dr,445,494
hrf_glaucoma_07g,1230,467
hrf_healthy_07h,1272,527
hrf_dr_08dr,1191,528
hrf_glaucoma_08g,461,521
hrf_healthy_08h,421,479
hrf_dr_09dr,1154,588
hrf_glaucoma_09g,461,503
hrf_healthy_09h,1282,484
hrf_dr_10dr,486,552
hrf_glaucoma_10g,1187,539
hrf_healthy_10h,424,510
hrf_dr_11dr,1247,561
hrf_glaucoma_11g,1191,485
hrf_healthy_11h,1331,516
hrf_dr_12dr,448,454
hrf_glaucoma_12g,514,496
hrf_healthy_12h,466,451
hrf_dr_13dr,1220,585
hrf_glaucoma_13g,1243,521
hrf_healthy_13h,1230,503
hrf_dr_14dr,450,518
hrf_glaucoma_14g,434.480446927374,516.762569832402
hrf_healthy_14h,441,485
hrf_dr_15dr,1229,513
hrf_glaucoma_15g,1179,517
hrf_healthy_15h,1231,517
