name,x-coordinates,y-coordinates
iostar_01,179.75,473.75
iostar_02,933,483
iostar_03,612.7125,474.833552631579
iostar_05,954.828476821192,442.054966887417
iostar_06,575.75,520.25
iostar_08,638.75,514.25
iostar_09,555.7625,471.836184210526
iostar_10,587,488
iostar_13,594.987417218543,503.527814569536
iostar_15,575.75,451.25
iostar_16,544.25,529.25
iostar_17,589.25,437.75
iostar_20,962.325165562914,487.035099337748
iostar_21,190.25,451.25
iostar_24,176.75,491.75
iostar_26,970.89124668435,501.806366047745
iostar_28,605,524
iostar_30,928.25,515.75
iostar_31,541.25,502.25
iostar_32,956.75,524.75
iostar_34,961,523
iostar_36,220.15298013245,476.539735099338
iostar_37,605.75,464.75
iostar_38,998.75,521.75
iostar_39,1012,477
iostar_40,203,479
iostar_43,145.25,463.25
iostar_44,560.502649006623,464.545033112583
iostar_45,955.25,493.25
iostar_48,608,486
